Date,Open,High,Low,Close,Adj Close,Volume
2018-02-06,14.000000,14.350000,13.360000,13.440000,13.440000,14726900
2018-02-07,13.150000,13.950000,12.880000,13.060000,13.060000,15030500
2018-02-08,13.180000,13.800000,12.880000,13.170000,13.170000,14282900
2018-02-09,13.190000,13.220000,11.340000,12.260000,12.260000,24005300
2018-02-12,12.590000,13.980000,12.320000,13.530000,13.530000,15343000
2018-02-13,13.710000,14.090000,13.350000,13.870000,13.870000,12872000
2018-02-14,13.900000,16.030001,13.440000,15.830000,15.830000,25263500
2018-02-15,15.960000,16.139999,14.900000,15.910000,15.910000,14885400
2018-02-16,15.460000,15.680000,13.900000,14.460000,14.460000,17787500
2018-02-20,13.900000,14.200000,13.080000,13.260000,13.260000,13218500
2018-02-21,13.730000,14.640000,13.200000,13.200000,13.200000,16005300
2018-02-22,13.530000,13.690000,13.110000,13.150000,13.150000,10475900
2018-02-23,13.260000,13.780000,13.070000,13.620000,13.620000,7896100
2018-02-26,14.040000,14.360000,13.830000,14.330000,14.330000,8918600
2018-02-27,13.930000,13.970000,12.820000,13.100000,13.100000,16547000
2018-02-28,13.210000,13.420000,12.920000,12.960000,12.960000,8380600
2018-03-01,12.600000,13.690000,12.080000,13.520000,13.520000,19456400
2018-03-02,13.920000,14.100000,13.260000,13.360000,13.360000,13540000
2018-03-05,13.170000,13.470000,13.020000,13.420000,13.420000,8760200
2018-03-06,13.940000,14.690000,13.920000,14.160000,14.160000,17435600
2018-03-07,14.020000,14.200000,13.020000,13.220000,13.220000,16272600
2018-03-08,13.300000,13.420000,12.940000,13.310000,13.310000,12087800
2018-03-09,13.040000,13.750000,13.030000,13.250000,13.250000,12571900
2018-03-12,13.050000,13.580000,12.770000,13.530000,13.530000,10931200
2018-03-13,13.600000,13.780000,13.100000,13.380000,13.380000,8991100
2018-03-14,13.360000,13.640000,13.230000,13.380000,13.380000,5604900
2018-03-15,13.170000,13.250000,12.850000,13.030000,13.030000,11883400
2018-03-16,13.020000,13.040000,12.570000,12.840000,12.840000,9988100
2018-03-19,12.850000,13.420000,12.630000,13.200000,13.200000,12353400
2018-03-20,13.000000,13.080000,12.690000,12.810000,12.810000,8144300
2018-03-21,13.280000,14.420000,13.100000,14.140000,14.140000,24363000
2018-03-22,13.850000,14.110000,13.520000,13.590000,13.590000,11242100
2018-03-23,14.500000,14.920000,14.250000,14.450000,14.450000,16218800
2018-03-26,14.720000,15.000000,14.640000,14.700000,14.700000,10041600
2018-03-27,14.010000,14.330000,13.760000,13.970000,13.970000,11182400
2018-03-28,13.560000,13.630000,12.950000,13.070000,13.070000,14940500
2018-03-29,13.020000,13.580000,13.010000,13.560000,13.560000,10420400
2018-04-02,14.000000,14.460000,13.740000,13.990000,13.990000,13484500
2018-04-03,13.650000,13.710000,13.210000,13.370000,13.370000,8573600
2018-04-04,13.920000,13.930000,13.120000,13.260000,13.260000,9830400
2018-04-05,13.000000,13.470000,12.990000,13.450000,13.450000,7803500
2018-04-06,13.810000,13.930000,13.600000,13.830000,13.830000,10051500
2018-04-09,13.780000,14.190000,13.440000,13.790000,13.790000,7737400
2018-04-10,14.030000,14.400000,13.890000,14.130000,14.130000,7316200
2018-04-11,14.600000,15.710000,14.550000,15.110000,15.110000,17084200
2018-04-12,14.600000,14.840000,14.410000,14.440000,14.440000,8058700
2018-04-13,14.860000,15.480000,14.820000,15.210000,15.210000,9414200
2018-04-16,15.450000,15.450000,14.920000,15.170000,15.170000,7136800
2018-04-17,15.030000,15.680000,14.930000,15.490000,15.490000,6405400
2018-04-18,15.890000,16.379999,15.780000,15.830000,15.830000,10992200
2018-04-19,15.980000,16.410000,15.410000,16.030001,16.030001,9879600
2018-04-20,15.430000,15.480000,15.030000,15.240000,15.240000,10058700
2018-04-23,14.650000,14.720000,14.230000,14.320000,14.320000,9308600
2018-04-24,14.510000,14.880000,14.400000,14.770000,14.770000,8069500
2018-04-25,14.220000,14.630000,14.000000,14.250000,14.250000,6685200
2018-04-26,14.530000,14.670000,14.180000,14.460000,14.460000,6957100
2018-04-27,14.660000,14.660000,14.300000,14.490000,14.490000,5998300
2018-04-30,13.950000,14.220000,13.760000,13.840000,13.840000,9986500
2018-05-01,13.670000,14.110000,13.530000,14.070000,14.070000,8840300
2018-05-02,14.260000,15.410000,14.190000,14.560000,14.560000,15068000
2018-05-03,15.260000,15.310000,14.750000,15.030000,15.030000,9056100
2018-05-04,14.900000,15.220000,14.630000,15.110000,15.110000,6444900
2018-05-07,14.830000,15.240000,14.830000,14.870000,14.870000,7227500
2018-05-08,14.660000,15.220000,14.310000,14.980000,14.980000,12229800
2018-05-09,15.060000,15.340000,14.790000,14.920000,14.920000,7759400
2018-05-10,15.400000,15.850000,15.350000,15.820000,15.820000,11111700
